Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Round-Up,Maverick Buttress > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105718003/round-up,3.2,-1,Trad,5.10c,1,80.0,38.54492,-109.69654
West Crack,Owl Rock > Arches National Park > Southeast Utah > Utah,https://www.mountainproject.com/route/105717448/west-crack,3.0,-1,Trad,5.8,1,100.0,38.6972,-109.54923
Flakes of Wrath Direct,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106927403/flakes-of-wrath-direct,3.2,-1,Trad,5.11 R,1,,38.54668,-109.59959
Encore,The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/112554704/encore,3.3,-1,Sport,5.11a,1,80.0,38.66006,-109.49974
Potash Bong Hit,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106104201/potash-bong-hit,3.0,-1,Trad,5.9+,1,70.0,38.54668,-109.59959
30 Seconds Over Potash,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717463/30-seconds-over-potash,3.1,-1,Trad,5.8+,1,80.0,38.54668,-109.59959
Nervous in Suburbia,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717502/nervous-in-suburbia,3.1,-1,Sport,5.10a,1,50.0,38.54668,-109.59959
Frogs of a Feather,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106146660/frogs-of-a-feather,3.1,-1,Trad,5.10c,1,,38.54668,-109.59959
Brush Your Teeth,Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/107920861/brush-your-teeth,2.9,-1,"Trad, Sport",5.9,1,70.0,38.5092,-109.5995
Dread Pirate Roberts,Cliffs of Insanity > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/106590961/dread-pirate-roberts,3.1,-1,Trad,5.10+,1,60.0,38.15145,-109.59834
Fernando,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106353378/fernando,3.0,-1,Sport,5.11b,1,50.0,38.54668,-109.59959
Fatted Calf,Sacred Cow Wall > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105809843/fatted-calf,3.6,-1,Trad,5.11-,1,70.0,38.14011,-109.58944
Steve Carruthers Memorial,Sacred Cow Wall > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105809855/steve-carruthers-memorial,3.9,-1,Trad,5.11,1,160.0,38.14011,-109.58944
Working Class Hero,Day Canyon Cragging Routes > Day Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717475/working-class-hero,3.1,-1,Trad,5.9,1,,38.56973,-109.66167
Kelley Route 1,Cliffs of Insanity > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/106590916/kelley-route-1,3.6,-1,Trad,5.10c,1,130.0,38.15145,-109.59834
West Face,The Three Gossips > Arches National Park > Southeast Utah > Utah,https://www.mountainproject.com/route/105717538/west-face,3.4,-1,"Trad, Aid",5.11 C1-2,3,,38.63587,-109.60375
Root Canal,River Road Dihedrals > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106777929/root-canal,2.9,-1,Sport,5.8,1,70.0,38.60702,-109.54061
Magic Carpet Ride,The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/106049215/magic-carpet-ride,3.0,-1,Sport,5.10a,1,50.0,38.49649,-109.31053
Hot Karl Sunday,Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/105936665/hot-karl-sunday,2.9,-1,Sport,5.10c,1,90.0,38.5092,-109.5995
Hot Toddy,Maverick Buttress > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717601/hot-toddy,2.9,-1,Trad,5.10b,1,80.0,38.54492,-109.69654
Lucy in the Sky with Potash,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717580/lucy-in-the-sky-with-potash,2.9,-1,Trad,5.10b,1,,38.54668,-109.59959
Christine's Way Buff Saab,Day Canyon Cragging Routes > Day Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717523/christines-way-buff-saab,2.9,-1,Trad,5.9+,1,,38.56973,-109.66167
"To Boo, or Not to Boo",The Theater > Take-Out Beach > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/112556981/to-boo-or-not-to-boo,2.9,-1,Sport,5.10a,1,75.0,38.66113,-109.4994
Another Roadside Distraction,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105718018/another-roadside-distraction,2.8,-1,Trad,5.10b,1,80.0,38.54668,-109.59959
North Ridge,Monster Tower > Island In The Sky > Southeast Utah > Utah,https://www.mountainproject.com/route/105718762/north-ridge,3.6,-1,Trad,5.11,5,500.0,38.38949,-109.83752
Taming of the Boo,The Theater > Take-Out Beach > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/112556972/taming-of-the-boo,3.1,-1,Sport,5.10c,1,75.0,38.66113,-109.4994
Wiggins I,Cliffs of Insanity > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/106420649/wiggins-i,3.9,-1,Trad,5.11-,1,110.0,38.15145,-109.59834
Holier Than Thou,The Nuns > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105718021/holier-than-thou,3.8,-1,"Trad, Sport",5.11c,2,350.0,38.6836,-109.4227
Abraxas Left,Abraxas Wall > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/106651372/abraxas-left,3.0,-1,Trad,5.10,1,65.0,38.52692,-109.60023
Free Window Route,Echo Pinnacle > Tusher Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/105717961/free-window-route,3.5,-1,Trad,5.11-,2,270.0,38.68334,-109.7511
Spear of Destiny,Utopia > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/107619348/spear-of-destiny,3.6,-1,Sport,5.9 PG13,1,90.0,38.65092,-109.49562
The Cobra,The Cobra > Fisher Towers > Southeast Utah > Utah,https://www.mountainproject.com/route/105717490/the-cobra,3.3,-1,Trad,5.11- R,1,,38.724,-109.3083
An Overflow of Good,The Theater > Take-Out Beach > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/112556994/an-overflow-of-good,3.3,-1,Sport,5.11b,1,90.0,38.66113,-109.4994
Hallow Souls,Space Tower Area > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/105717586/hallow-souls,3.4,-1,Trad,5.9,2,,38.5078,-109.6011
Mother Trucker,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106440671/mother-trucker,3.3,-1,Trad,5.11c,1,50.0,38.54668,-109.59959
Potash Sanction,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105964117/potash-sanction,3.0,-1,Trad,5.11a,1,65.0,38.54668,-109.59959
Heart of the Desert,NE crag > East > Park Avenue > Arches National Park > Southeast Utah > Utah,https://www.mountainproject.com/route/105717985/heart-of-the-desert,3.4,-1,Trad,5.10c,1,80.0,38.63133,-109.59921
Abraxas Tower,Abraxas Wall > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/106343976/abraxas-tower,3.0,-1,Trad,5.10-,2,200.0,38.52692,-109.60023
Ring Sizer,Pinky Tower > Little Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105953279/ring-sizer,3.6,-1,Trad,5.10 PG13,2,100.0,38.61548,-109.66944
Grateful He's Dead,The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/106280353/grateful-hes-dead,2.9,-1,Sport,5.10d PG13,1,60.0,38.49649,-109.31053
El  Segundo,Northside Routes > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105965876/el-segundo,3.0,-1,Trad,5.9,2,150.0,38.60758,-109.57414
Astro Dad,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/111857451/astro-dad,3.7,-1,Trad,5.11c/d,1,80.0,38.54668,-109.59959
Boognish Tower,Boognish Tower > Day Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/108214204/boognish-tower,3.5,-1,"Trad, Sport",5.10 PG13,1,120.0,38.57066,-109.66948
The Trial,The Wall > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105895459/the-trial,2.8,-1,Trad,5.10,1,100.0,38.17139,-109.59666
Terma,Utopia > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/107509741/terma,2.9,-1,Trad,5.8+ PG13,3,330.0,38.65092,-109.49562
Going the Distance,Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/106283689/going-the-distance,3.9,-1,Sport,5.11c,1,80.0,38.49974,-109.30695
Android Waffle Hot Line,Day Canyon Cragging Routes > Day Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105718135/android-waffle-hot-line,3.5,-1,Trad,5.10b,2,190.0,38.56973,-109.66167
Brain Damage,The Wall > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105883373/brain-damage,2.9,-1,Trad,5.10d,1,100.0,38.17139,-109.59666
Skinwalker,Wall Street South > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105718459/skinwalker,3.8,-1,Trad,5.11,1,110.0,38.56719,-109.65884
