Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Unnamed V3,Problems on Unnamed Boulders > Main Bouldering Area > Beardsley Bouldering > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/108109624/unnamed-v3,3.6,-1,"TR, Boulder",5.11+ V3,1,25.0,33.68233,-112.04281
Grand Illusion,Guillotine Roof > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120563155/grand-illusion,3.3,-1,Sport,5.11b,1,40.0,33.34213,-112.07597
Pasta Man Unchained,Pasta Slab > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/108547310/pasta-man-unchained,3.3,-1,Trad,5.8,1,40.0,33.77314,-111.80099
Awkward Prom Date,P4 Boulder > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120188137/awkward-prom-date,3.2,-1,"Trad, TR, Boulder",5.10a V1 R,1,30.0,33.73358,-111.86516
Pay Dirt,The Motherlode > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118716043/pay-dirt,3.2,-1,Trad,5.9 R,3,300.0,33.44934,-111.45786
Death Watch,Pinnacle Peak > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105952762/death-watch,3.1,-1,Trad,5.10c,1,60.0,33.72624,-111.86334
Leave It To Greevers,Greevers' Needle > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/109571881/leave-it-to-greevers,3.0,-1,Trad,5.9+ PG13,1,120.0,33.46891,-111.5448
Call of the Wild,Bob Ross Wall > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120539148/call-of-the-wild,2.8,-1,Sport,5.10b,1,40.0,33.34213,-112.07597
Burnt Umber,Bob Ross Wall > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120464365/burnt-umber,2.8,-1,Sport,5.9,2,60.0,33.34213,-112.07597
Delusions of Grandeur,Granite Ballroom > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118182702/delusions-of-grandeur,3.0,-1,Trad,5.11-,1,60.0,33.68461,-111.79018
