Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Homeostasis,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112914002/homeostasis,3.4,-1,Sport,5.11b,1,150,36.65703,-114.00822
"16 Weeks","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110535318/16-weeks,3.5,-1,Sport,5.11b,1,70,35.30713,-111.70502
"Coyote Tower","Courthouse Butte > Bell Rock / Courthouse Butte > Village of Oak Creek > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105809140/coyote-tower,3.4,-1,Trad,5.10c,6,400,34.801,-111.75488
"The Bootlegger","3. The Right Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/109561784/the-bootlegger,3.4,-1,Trad,5.11a,1,110,34.93143,-111.73278
"Stick It","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106179865/stick-it,3.5,-1,Trad,5.10c,1,90,34.94209,-110.6632
"Clean Slate","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110535353/clean-slate,3.3,-1,Sport,5.9,1,70,35.30713,-111.70502
"Sacrificial Lizard","Main Wall > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105976171/sacrificial-lizard,3.3,-1,Sport,5.11a/b,1,60,34.75487,-111.06333
"Man on the Moon","Main Wall > Higher Solitude > Solitude Canyon > Mt. Elden Crags > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/107387628/man-on-the-moon,3.2,-1,Sport,5.10-,4,250,35.24103,-111.61823
"Middle Trinity Crack","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105951818/middle-trinity-crack,3.3,-1,Trad,5.10,1,90,35.03049,-111.73199
"Space Cowboys","The Planetarium > West Twin Butte > Twin Butte > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105881746/space-cowboys,3.3,-1,Sport,5.11b,1,90,34.83432,-111.76848
"Tales From the Grypt","Main Wall > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105969052/tales-from-the-grypt,3.3,-1,Sport,5.11c,1,85,34.75487,-111.06333
"Jolly Roger","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/106183638/jolly-roger,3.2,-1,Trad,"5.10 PG13",1,70,35.13763,-112.02421
"Angel's Delight","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105832617/angels-delight,3.2,-1,Trad,5.8-,1,100,35.03049,-111.73199
"Standin On A Corner","East Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106892362/standin-on-a-corner,3.2,-1,Sport,5.10d,1,80,34.94209,-110.6632
Gouda,"Swiss Wall > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105828278/gouda,3.1,-1,Sport,5.9,1,70,34.75327,-111.06506
"Smilin' Jay","3. The Right Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105849227/smilin-jay,3.1,-1,Trad,5.10,1,100,34.93143,-111.73278
"Earth Angel","Mormon Canyon > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105814921/earth-angel,3.2,-1,Trad,5.10-,6,700,34.90767,-111.76742
"True Value","(F) Swiss Tower > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105810916/true-value,3.2,-1,Sport,5.11a,1,70,35.12928,-111.59745
"The Abyss","(F) Swiss Tower > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105810941/the-abyss,3.1,-1,Sport,5.11a,1,80,35.12928,-111.59745
Genesis,"Main Wall > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105863654/genesis,3.2,-1,Sport,5.10d,1,,34.75487,-111.06333
"Touched By An Angel","Mormon Canyon > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/109555966/touched-by-an-angel,3.7,-1,Trad,5.10,5,650,34.90767,-111.76742
"Loose Lips","Davidson Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/106212858/loose-lips,3.1,-1,Trad,5.10+,1,80,35.1381,-112.0282
"Southern Exposure","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/107673165/southern-exposure,3.1,-1,Sport,5.10,1,70,35.3874,-111.61355
"Bro Job","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106179914/bro-job,3.1,-1,Sport,5.11b,1,75,34.94209,-110.6632
"Jack and the Beanstalk","Cracker Jack Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105800763/jack-and-the-beanstalk,3.1,-1,Sport,5.11a,1,,34.75582,-111.06739
"Left Trinity Crack","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105845806/left-trinity-crack,3.0,-1,Trad,5.10-,1,80,35.03049,-111.73199
"Off the Couch","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110535107/off-the-couch,3.0,-1,Sport,5.10,1,70,35.30713,-111.70502
"Fool's Game","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105792467/fools-game,3.0,-1,Trad,5.9+,1,90,35.13763,-112.02421
"Dune Buggyin'","Fay Buttress > Fay Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/116156769/dune-buggyin,3.9,-1,Trad,5.11-,5,450,34.91652,-111.87264
Raindance,"Raindance Buttress > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105792593/raindance,3.4,-1,Trad,5.10,1,110,35.1381,-112.0282
"The Windows Route","Super Crack Tower > Midgley Bridge Area > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106167680/the-windows-route,3.7,-1,Trad,5.10,3,220,34.9033,-111.748
"Hobo Joe","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110521058/hobo-joe,3.0,-1,Sport,5.11b,1,70,35.30713,-111.70502
"Popeye Meets The Burrito Master","(G) Mall Wall > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105827477/popeye-meets-the-burrito-master,2.9,-1,Sport,5.10b/c,2,100,35.12932,-111.59735
Flashflood,"1. The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/106400259/flashflood,3.0,-1,Trad,5.10,1,100,34.9318,-111.73386
"Office Party","The Sacred Trust > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/107482137/office-party,2.9,-1,Sport,5.10a,6,360,36.65804,-114.00725
"Morning's Mourning","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106160534/mornings-mourning,2.9,-1,Trad,5.8+,1,80,35.03049,-111.73199
"Divine Vessel","The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112484032/divine-vessel,3.0,-1,Sport,5.11a,1,85,36.65703,-114.00822
"The Sword","1. The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105806694/the-sword,2.9,-1,Trad,5.10,1,80,34.9318,-111.73386
"Amateur  Hour","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105864578/amateur-hour,3.4,-1,Trad,5.9,1,90,35.03049,-111.73199
"Ship of Fools","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105792565/ship-of-fools,2.9,-1,Trad,5.10a,1,100,35.13763,-112.02421
"North Face/West Crack","Oak Creek Spire > Oak Creek Spire Area > Village of Oak Creek > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105789525/north-facewest-crack,3.3,-1,Trad,5.9+,3,250,34.80292,-111.72643
"Simple Truths","The Sacred Trust > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/111590362/simple-truths,3.1,-1,Sport,5.10c,5,400,36.65804,-114.00725
Queenfolia,"Davidson Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105831848/queenfolia,2.9,-1,Trad,5.10,1,70,35.1381,-112.0282
"Fruit Bowl","(E) The White Wall > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105810959/fruit-bowl,2.9,-1,Sport,5.11,1,70,35.12921,-111.59763
"Mulligan Pie","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/109043635/mulligan-pie,3.6,-1,Sport,5.11b,1,90,35.3874,-111.61355
"False Prophet","2. The Main Amphitheater- Fall Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/106404767/false-prophet,3.8,-1,Trad,5.11+,1,90,34.93186,-111.73298
"City Dweller (Cellar Dweller)","The Back Walls > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112478667/city-dweller-cellar-dweller,3.5,-1,Sport,5.11c,1,100,36.6569,-114.00667
"Enemy Wind","Cracker Jack Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105940899/enemy-wind,3.4,-1,Sport,5.11c,1,,34.75582,-111.06739
"A Rusted Rapture","2. East End Wall > South Side > Volunteer Canyon (The Cwm) > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/107246255/a-rusted-rapture,3.5,-1,Trad,5.10,1,90,35.11985,-111.93423
"No Feelings","3. The Right Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105852480/no-feelings,2.8,-1,Trad,5.10+,1,100,34.93143,-111.73278
"Ultimate Finger Crack","Ultimates West > The Ultimates > Upper Pumphouse Wash > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105815998/ultimate-finger-crack,4.0,-1,Trad,5.11b/c,1,165,35.03512,-111.71591
"The Chronic","4. The Double Clutching Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105806648/the-chronic,3.8,-1,Trad,5.11+,1,75,34.93073,-111.73254
"Three Turkeys","Davidson Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105844148/three-turkeys,3.6,-1,Trad,5.11c,1,70,35.1381,-112.0282
"Trundlers Club","Trundlers Buttress > East Twin Butte > Twin Butte > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105845740/trundlers-club,3.5,-1,Trad,5.11-,5,350,34.8315,-111.7568
