Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Yin and Yang","Yin and Yang Cliff > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732485/yin-and-yang,3.6,-1,Trad,5.11a,1,40,36.16791,-115.42695
"Olive Oil","Rose Tower > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732494/olive-oil,3.4,-1,Trad,5.7,5,600,36.1178,-115.48805
"Adventure Punks","Challenger Wall > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106252692/adventure-punks,3.6,-1,Trad,5.10d,5,550,36.1187,-115.49655
"Rock Warrior","Black Velvet Wall > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105883684/rock-warrior,3.6,-1,Trad,"5.10b R",6,,36.03518,-115.46652
"Red Zinger","The Friar and Byrd Pinnacle > (12) Oak Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732425/red-zinger,3.7,-1,Trad,5.10+,2,110,36.10394,-115.48544
"Our Father","North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732782/our-father,3.7,-1,Trad,"5.10c/d R",3,300,36.03509,-115.46345
"Great Red Book","The Great Red Book Area > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732647/great-red-book,3.4,-1,Trad,5.8,2,250,36.15544,-115.43461
Lunatic,"The Fringe > Ash Canyon > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107612092/lunatic,3.7,-1,Sport,5.11b,1,95,36.16162,-115.43509
"Yaak Crack","The Gallery > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732374/yaak-crack,3.6,-1,Sport,5.11c,1,70,36.15672,-115.43841
1057,"Yellow Pine > Kyle Canyon > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/106504520/1057,3.6,-1,Sport,5.10b,1,55,36.27202,-115.67183
"Gin Ricky","Alcohol Wall > (14) First Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105858215/gin-ricky,3.6,-1,Trad,5.10c,1,180,36.07813,-115.47797
Ixtlan,"North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105826195/ixtlan,3.6,-1,Trad,5.11c,3,200,36.03509,-115.46345
"Back in Time","Necromancer Wall > (09) Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107903955/back-in-time,3.5,-1,Trad,5.10a,1,120,36.144,-115.49069
"Left Out","Hidden Falls Wall > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732839/left-out,3.6,-1,Trad,5.10+,1,100,36.15575,-115.4976
Flameblower,"Stratocaster Area > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107431251/flameblower,3.6,-1,Sport,5.10d,1,95,36.15852,-115.4401
