Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
No time to die,Challis Pallis > Central Idaho > Idaho,https://www.mountainproject.com/route/121205972/no-time-to-die,4.0,-1,Sport,5.11a,2,120,44.46795,-114.21922
Main Line,Granite Point > North Idaho > Idaho,https://www.mountainproject.com/route/113701153/main-line,4.0,-1,Trad,5.10+,1,90,48.09847,-116.43153
Sunny side of the street,Grand View Canyon > Central Idaho > Idaho,https://www.mountainproject.com/route/121206021/sunny-side-of-the-street,4.0,-1,Trad,5.10c PG13,1,150,44.36306,-114.0718
The Balcony Route,North Twin Sister > Twin Sisters > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/109448100/the-balcony-route,4.0,-1,Trad,5.10d PG13,3,330,42.04346,-113.72077
Psycho Killer,The Midwest > East Pull Out > Laclede > North Idaho > Idaho,https://www.mountainproject.com/route/122497087/psycho-killer,4.0,-1,Trad,5.11a,1,50,48.15792,-116.79435
Aiguille route,South Side > Garden Creek Gap > East Idaho > Idaho,https://www.mountainproject.com/route/106325732/aiguille-route,4.0,-1,"Trad, Mixed, Ice, Snow, Alpine",5.9 WI3 M6+ Mod. Snow PG13,7,1200,42.57291,-112.31056
Weasel’s Rip My Flesh Part 1,The Midwest > East Pull Out > Laclede > North Idaho > Idaho,https://www.mountainproject.com/route/122165279/weasels-rip-my-flesh-part-1,4.0,-1,Trad,5.10d,1,50,48.15792,-116.79435
Crack a Smile,West Pull Out > Laclede > North Idaho > Idaho,https://www.mountainproject.com/route/122091690/crack-a-smile,3.0,-1,Trad,5.10a,1,50,48.15573,-116.80097
Shook Me,Upper Main > East Pull Out > Laclede > North Idaho > Idaho,https://www.mountainproject.com/route/122091583/shook-me,4.0,-1,Trad,5.10b,1,50,48.15814,-116.79387
Bad Boyz,03. The Snarl > 05. The Nose > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/118277529/bad-boyz,3.5,-1,Sport,5.11a/b,1,,42.72,-113.06523
CLOSED TO CLIMBING A Face In The Crowd,CLOSED TO CLIMBING 7 Bop and Beta Wall > CLOSED TO CLIMBING Main Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/118646744/closed-to-climbing-a-face-in-the-crowd,4.0,-1,Sport,5.10b,1,75,42.67508,-112.99826
CLOSED TO CLIMBING Recreational Vehicles,CLOSED TO CLIMBING 7 Bop and Beta Wall > CLOSED TO CLIMBING Main Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/118647465/closed-to-climbing-recreational-vehicles,4.0,-1,Sport,5.10b,1,,42.67508,-112.99826
Hydro electric,The dam buttress > Central Idaho > Idaho,https://www.mountainproject.com/route/112208877/hydro-electric,4.0,-1,Sport,5.11a,1,75,44.2673,-114.7385
Pole Dancer - PERMANENTLY CLOSED TO CLIMBING!!,Sorcerer's Stone - CLOSED TO CLIMBING!! > South Hills > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/105873537/pole-dancer-permanently-closed-to-climbing,4.0,-1,Trad,5.11a,3,250,42.13236,-113.67623
Pole Cat - PERMANENTLY CLOSED TO CLIMBING!!,Sorcerer's Stone - CLOSED TO CLIMBING!! > South Hills > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/105873547/pole-cat-permanently-closed-to-climbing,4.0,-1,Trad,5.10b,3,250,42.13236,-113.67623
A Sand Castle,The Sandcastle > South Hills > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/107827991/a-sand-castle,4.0,-1,Sport,5.9+,1,70,42.13317,-113.67132
Cool Crack,Bracksiek's Pillar > South Hills > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/107527125/cool-crack,3.6,-1,Trad,5.11a,2,200,42.13496,-113.67163
Highway to Hell,07. Psychedelic Rock > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113385394/highway-to-hell,2.9,-1,Sport,5.11a,1,90,43.7201,-113.07682
Dyno Boy,Upper Fifth Canyon > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/107562834/dyno-boy,3.6,-1,Sport,5.10d,1,,47.70252,-116.96123
Patina Atoll,Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/105811886/patina-atoll,3.2,-1,"Trad, Sport",5.11a,1,160,42.12433,-113.67199
CLOSED TO CLIMBING Crack Baby,CLOSED TO CLIMBING Lower Tier of the Asylum Wall > CLOSED TO CLIMBING Owl Cove Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/111431149/closed-to-climbing-crack-baby,3.5,-1,Sport,5.10a,1,100,42.67316,-113.00089
Lights Out,Face Canyon > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107265385/lights-out,3.3,-1,Sport,5.11a,1,60,43.53309,-116.07777
Geologic Time Includes Now,Green Acres > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/108952708/geologic-time-includes-now,3.7,-1,Trad,5.10c,1,35,43.5373,-116.0958
Velvet Sky,1. The Pit > 01. The Pit and Juniper Wall > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/118277613/velvet-sky,3.7,-1,Sport,5.11-,1,,42.72251,-113.0703
Puzzle Wall,Flaming Rock > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/115189731/puzzle-wall,3.0,-1,Sport,5.11a,1,60,42.07673,-113.7137
